,index,property_id,price,bed_no,address,property_type,listed_time,agent,first_station,second_station
0,305,46963697,995000.0,3.0,"Monohaus, Sidworth Street, London Fields E8",flat,2018-03-16 00:00:00,"Foxtons - New Homes North East, N1",London Fields,Cambridge Heath
1,175,48940341,995000.0,4.0,"Celandine Drive, Hackney E8",house,2018-09-05 00:00:00,"Foxtons - Hackney, E8",Haggerston,Dalston Junction
2,76,49305835,975000.0,2.0,"Martello Street, London E8",flat,2018-10-10 00:00:00,"Stirling Ackroyd - Hackney, E8",London Fields,Hackney Central
3,230,48394965,975000.0,2.0,"Martello Street, London E8",flat,2018-07-16 00:00:00,"Dexters - Hackney, E8",London Fields,Hackney Central
4,172,44554998,950000.0,4.0,"Fassett Square, London E8",house,2018-09-06 00:00:00,"Purplebricks, Head Office, B90",Hackney Downs,Hackney Central
5,263,48590593,950000.0,3.0,"Monohaus, Sidworth Street, London E8",flat,2018-06-13 00:00:00,"Stone Real Estate, W1W",London Fields,Cambridge Heath
6,243,48206014,950000.0,3.0,"Dalston Square, Dalston E8",flat,2018-07-02 00:00:00,"Foxtons - Hackney, E8",Dalston Junction,Dalston Kingsland
7,93,49276322,950000.0,6.0,"Amhurst Road, London E8",house,2018-10-06 00:00:00,"Allsop LLP, W1U",Hackney Downs,Hackney Central
8,272,47912901,950000.0,3.0,"Monohaus, Sidworth Street, London Fields E8",flat,2018-06-07 00:00:00,"Foxtons - New Homes North East, N1",London Fields,Cambridge Heath
9,312,47010168,945000.0,4.0,"London Lane, Hackney E8",house,2018-02-15 00:00:00,"Currell - New Homes, E9",London Fields,Hackney Central
10,8,49517166,945000.0,4.0,"London Lane, Hackney E8",house,2018-10-30 00:00:00,"Southern Home Ownership, EC1M",London Fields,Hackney Central
11,289,47736030,925000.0,3.0,"Queensbridge Road, Hackney E8",flat,2018-05-23 00:00:00,"Currell - Hackney, E8",Dalston Junction,Haggerston
12,278,47837696,900000.0,3.0,"Martello Street, London E8",house,2018-06-04 00:00:00,"Keatons - Hackney, E8",London Fields,Hackney Central
13,102,49243363,900000.0,3.0,"Navarino Grove, London E8",house,2018-10-04 00:00:00,"Keatons - Hackney, E8",Hackney Downs,Hackney Central
14,290,47712704,900000.0,3.0,"Graham Road, Hackney E8",house,2018-05-22 00:00:00,"The Olive Branch, SE10",Hackney Downs,Hackney Central
15,295,47538574,900000.0,3.0,"Navarino Grove, London Fields E8",house,2018-05-08 00:00:00,"Bennett Walden, E8",Hackney Downs,Hackney Central
16,273,47912902,900000.0,3.0,"Monohaus, Sidworth Street, London Fields E8",flat,2018-06-07 00:00:00,"Foxtons - New Homes North East, N1",London Fields,Cambridge Heath
17,176,48924003,900000.0,4.0,"Seal Street, London E8",house,2018-09-04 00:00:00,"Location Location, N16",Dalston Kingsland,Rectory Road
18,297,47429610,895000.0,4.0,"Grand Union Crescent, London E8",house,2018-04-27 00:00:00,"Doorsteps.co.uk, National, HA3",London Fields,Haggerston
19,306,46963702,890000.0,3.0,"Monohaus, Sidworth Street, London Fields E8",flat,2018-03-16 00:00:00,"Foxtons - New Homes North East, N1",London Fields,Cambridge Heath
20,129,49150121,875000.0,2.0,"Wilton Estate, Greenwood Road, London E8",house,2018-09-25 00:00:00,"Dexters - Hackney, E8",Hackney Downs,Hackney Central
21,214,48542014,875000.0,2.0,"Arthaus Apartments, Hackney E8",flat,2018-07-27 00:00:00,"Foxtons - New Homes North East, N1",London Fields,Hackney Central
22,269,47935051,875000.0,1.0,"Richmond Road, London E8",flat,2018-06-09 00:00:00,"Fine &amp; Country - City Living, E3",London Fields,Hackney Central
23,121,49165092,868000.0,3.0,"Tyssen Street, London E8",flat,2018-09-26 00:00:00,"Keatons - Hackney, E8",Dalston Kingsland,Dalston Junction
24,124,49158747,868000.0,3.0,"Alpha House, 8 Tyssen Street, London E8",flat,2018-09-26 00:00:00,"Stirling Ackroyd - Dalston, E8",Dalston Kingsland,Dalston Junction
25,164,35004107,868000.0,3.0,"Alpha House, Tyssen Street, Dalston, London E8",flat,2018-09-11 00:00:00,"Vanet Property Asset Management - Canary Wharf, E14",Dalston Kingsland,Dalston Junction
26,135,49115648,850000.0,3.0,"Hackney Gardens, London E8",flat,2018-09-21 00:00:00,"Stone Real Estate, W1W",Hackney Central,Hackney Downs
27,192,48722664,850000.0,4.0,"Lenthall Road, London E8",flat,2018-08-14 00:00:00,"Dexters - Hackney, E8",Dalston Junction,Haggerston
28,248,48183143,850000.0,2.0,"Richmond Road, London E8",flat,2018-06-29 00:00:00,"Union Developments - Theatro, SE8",London Fields,Hackney Central
29,194,48717486,850000.0,2.0,"Broadway Market, London E8",flat,2018-08-13 00:00:00,"Dexters - Hackney, E8",London Fields,Cambridge Heath
30,361,40756241,850000.0,3.0,"Richmond Road, London E8",flat,2016-06-16 00:00:00,"Union Developments - Theatro, SE8",London Fields,Hackney Central
31,196,48694011,850000.0,5.0,"Amhurst Road, London E8",house,2018-08-10 00:00:00,"1st Choice for Property, DN1",Hackney Central,Hackney Downs
32,162,49006266,850000.0,3.0,"Ada Street, London Fields E8",flat,2018-09-12 00:00:00,"Atkinson Mcleod - Hackney, E8",Cambridge Heath,London Fields
33,186,48798800,825000.0,3.0,"Shrubland Road, London E8",house,2018-08-22 00:00:00,"Housesimple, CO1",Haggerston,London Fields
34,126,49155420,825000.0,3.0,"Shrubland Road, Dalston E8",house,2018-09-25 00:00:00,"Currell - Hackney, E8",Haggerston,London Fields
35,360,41244883,825000.0,3.0,"The Vibe, Zest House, Dalston E8",flat,2016-08-03 00:00:00,"Chase Evans City &amp; Aldgate, E1",Dalston Junction,Dalston Kingsland
36,296,47537833,820000.0,3.0,"Sandringham Road, London, London E8",house,2018-05-08 00:00:00,"Tepilo, EC3R",Dalston Kingsland,Dalston Junction
37,29,49474687,820000.0,2.0,"Broadway Market, London E8",flat,2018-10-25 00:00:00,"Dexters - Hackney, E8",London Fields,Cambridge Heath
38,88,49287756,800000.0,3.0,"Florfield Passage, Hackney E8",flat,2018-10-08 00:00:00,"Harvey Residential, E8",Hackney Central,London Fields
39,40,49430399,800000.0,4.0,"Andre Street, Hackney E8",house,2018-10-21 00:00:00,"Hunters - Shoreditch, EC2A",Hackney Downs,Hackney Central
40,42,49430400,800000.0,3.0,"Andre Street, Hackney E8",flat,2018-10-21 00:00:00,"Hunters - Shoreditch, EC2A",Hackney Downs,Hackney Central
41,46,49404621,800000.0,3.0,"Abraham House, Roseberry Place, London E8",flat,2018-10-18 00:00:00,"Stirling Ackroyd - Dalston, E8",Dalston Junction,Dalston Kingsland
42,63,49330144,800000.0,3.0,"Amhurst Road, London E8",flat,2018-10-11 00:00:00,"Stirling Ackroyd - Hackney, E8",Hackney Downs,Hackney Central
43,205,48595072,799950.0,4.0,"The Linkings, 12 Andre Street E8",house,2018-08-01 00:00:00,"Currell - New Homes, E9",Hackney Downs,Hackney Central
44,73,49314741,799950.0,2.0,"Greenwood Road, London E8",flat,2018-10-10 00:00:00,"Dexters - Hackney, E8",Hackney Downs,Hackney Central
45,206,48595009,799950.0,3.0,"The Linkings, 14 Andre Street E8",flat,2018-08-01 00:00:00,"Currell - New Homes, E9",Hackney Downs,Hackney Central
46,100,49247880,799000.0,3.0,"Monohaus, London Fields E8",flat,2018-10-04 00:00:00,"Stone Real Estate, W1W",London Fields,Cambridge Heath
